Title,Genre,Series or Movie,Director,Writer,Actors,IMDb Score,Release Date,IMDb Link,Summary,Image
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance",Series,Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",7.9,12 Dec 2008,https://www.imdb.com/title/tt1139797,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",https://occ-0-4708-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmgLCxN8dNahdY2kgd1hhcL2a6XrE92x24Bx5h6JFUvH5zMrv6lFWl_aWMt33b6DHvkgsUeDx_8Q1rmopwT3fuF8Rq3S1hrkvFf3uzVv2sb3zrtU-LM1Zy1FfrAKD3nKNyA_RQWrmw.jpg?r=cd0
HOW TO BUILD A GIRL,Comedy,Movie,Coky Giedroyc,Caitlin Moran,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",5.8,08 May 2020,https://www.imdb.com/title/tt4193072,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.",https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe_fxMSBM1E-sSoszr12SmkI-498sqBWrEyhkchdn4UklQVjdoPS_Hj-NhvgbePvwlDSzMTcrIE0kgiy-zTEU_EaGg.jpg?r=35a
Centigrade,"Drama, Thriller",Movie,Brendan Walsh,"Brendan Walsh, Daley Nixon","Genesis Rodriguez, Vincent Piazza",4.3,28 Aug 2020,https://www.imdb.com/title/tt8945942,"Trapped in a frozen car during a blizzard, a pregnant woman and her husband fight to survive while the temperatures plummet. Inspired by a true story.",https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW-fG-2_s3pGsBdbw4nLCWENcRKL2Ngj7Kv5_QQVgZ--GT8eg-BlyJZM9ZaAg5kAYHefo77975PKaTZ3Yza1zLQwgQ.jpg?r=66b
ANNE+,Drama,Series,,,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",6.5,01 Oct 2016,https://www.imdb.com/title/tt6132758,"Upon moving into a new place, a 20-something runs into a former flame that triggers memories of past relationships since their split four years ago.",https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeq3p0f50KPNQTYmozdPUenqXI3bh6Hadry-yMpooR0_Hm2VzUqIzq1V7oihe9ImLxaZC72w9HttdBRoORQT-WVkaA.jpg?r=f82
Moxie,"Animation, Short, Drama",Movie,Stephen Irwin,,Ragga Gudrun,6.3,22 Sep 2011,https://www.imdb.com/title/tt2023611,"Inspired by her moms rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb72YCHDSHzrB8i5_iG56UFm-qV2bslRyMHIqZ4tmlIpeVtMsqAyUem6JAxXtV4Ec9jlA4EpTdf5tNX2ivyLUwmPy4d3xowFdJE63MPXbWu8kAnc-j9qhAZrmMI.jpg?r=fad
The Con-Heartist,"Comedy, Romance",Movie,Mez Tharatorn,"Pattaranad Bhiboonsawade, Thodsapon Thiptinnakorn, Mez Tharatorn","Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon",7.4,03 Dec 2020,https://www.imdb.com/title/tt13393728,"After her ex-boyfriend cons her out of a large sum of money, a former bank employee tricks a scam artist into helping her swindle him in retaliation.",https://occ-0-2188-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSj6td_whxb4en62Ax5EKSKMl2lTzEK5CcBhwBdjRgF6SOJb4RtVoLhPAUWEskuOxPiaafxU1qauZDTJguwNQ9GstA.jpg?r=e76
Gleboka woda,Drama,Series,,,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",7.5,14 Jun 2011,https://www.imdb.com/title/tt2300049,A group of social welfare workers led by their new director tries to provide necessary aid to people struggling with various problems.,https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSxWH_aWvJrqXWANpOp86kFpU3kdpqx9RsdYZZGHfpIalSig2QHKaZXm8vhKWr89-OLh5XqzIHj_5UzwNriADy19NQ.jpg?r=561
Instynkt,Crime,Series,,,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",3.9,03 Mar 2011,https://www.imdb.com/title/tt1973421,"An enigmatic commissioner joins the Warsaw Police, where her unconventional investigation methods unsettle the officers in the homicide department.",https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUOq8KM0VPlrak8DpkXjMWY28qjpsdG_WT1ee8BDyBmk8X2453s0gQuHGVvV-D0OT-yq6C07b31Z2s-2MesSDaY1CQ.jpg?r=666
Only a Mother,Drama,Movie,Alf Sjöberg,Ivar Lo-Johansson,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",6.7,31 Oct 1949,https://www.imdb.com/title/tt0041155,An unhappily married farm worker struggling to care for her children reflects on her lost youth and the scandalous moment that cost her true love.,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdpOFktQ4Z3klQEU2XQc9NWompf70CHEGLPIeBdCGGLDhvy1Mqly5552DUYR5-5M77STCj8rPvCbXltOcTj53olEzA.jpg?r=c84
Snowroller,Comedy,Movie,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",6.6,04 Oct 1985,https://www.imdb.com/title/tt0090115,"Two friends take a ski trip to the Alps, where they enjoy the outdoors and try to charm two women also on vacation.",https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQoql2u62H3BqwAhwJWTF-F0QIaG7dmZiMx8WDff2YUSCX-Sgo072F5HPosZbBJTcYQBjNACBHurAbB40rPQxWBrzQ.jpg?r=667
